MIP_DIV,IKW_DIV,PCOM_DIV,PMX_DIV,EXH_DIV,Severity,Fault_Type
-0.2,0.2,0.3,0.2,-0.5,0,HE
1.6,1.7,0.0,0.9,-1.5,10,ITE
2.7,2.8,0.05,1.5,-2.7,20,ITE
4.5,4.5,0.0,2.5,-4.0,30,ITE
5.8,5.8,0.0,3.2,-5.2,40,ITE
7.5,7.5,0.0,4.3,-6.3,50,ITE
8.8,8.8,0.0,5.0,-7.5,60,ITE
10.2,10.2,0.0,5.6,-9.2,70,ITE
11.6,11.6,0.0,6.0,-10.1,80,ITE
13.0,13.0,0.0,6.5,-11.3,90,ITE
-0.4,-0.6,-0.7,-0.5,0.0,0,HE
-2.2,-2.2,0.0,-0.8,1.2,10,ITL
-3.9,-3.9,0.0,-1.5,2.3,20,ITL
-6.2,-6.2,-0.3,-2.8,4.8,30,ITL
-8.0,-8.0,0.0,-3.8,5.2,40,ITL
-10.5,-10.5,-0.2,-5.2,6.8,50,ITL
-12.5,-12.5,-0.4,-6.5,8.5,60,ITL
-14.7,-14.7,-0.4,-8.0,9.5,70,ITL
-17.0,-17.0,-0.6,-9.6,10.4,80,ITL
-19.2,-19.2,-0.4,-11.0,11.3,90,ITL
0.4,0.0,0.4,0.6,-0.4,0,HE
-1.6,-1.5,-1.1,-1.0,0.2,10,PRW
-2.7,-2.5,-2.4,-2.2,1.4,20,PRW
-2.2,-2.8,-2.3,-2.1,2.8,30,PRW
-2.5,-4.0,-3.2,-2.2,4.0,40,PRW
-5.1,-5.2,-4.2,-5.1,5.2,50,PRW
-6.2,-6.8,-5.8,-5.9,6.1,60,PRW
-7.2,-8.2,-7.3,-7.1,7.7,70,PRW
-6.7,-8.7,-7.1,-6.4,8.8,80,PRW
-9.2,-10.8,-9.6,-9.2,10.5,90,PRW
-0.5,0.0,0.0,-0.1,0.5,0,HE
-2.0,-2.0,-1.0,-1.0,4.0,10,SAPD
-3.0,-3.0,-2.5,-2.0,8.5,20,SAPD
-4.5,-4.5,-4.0,-3.0,13.5,30,SAPD
-6.5,-6.5,-5.5,-4.5,19.5,40,SAPD
-8.0,-8.0,-6.5,-5.0,25.5,50,SAPD
-8.5,-8.5,-7.5,-6.5,33.0,60,SAPD
-10.5,-10.5,-8.5,-7.5,40.5,70,SAPD
-12.0,-12.0,-10.0,-8.5,49.0,80,SAPD
-14.0,-14.0,-12.0,-9.5,59.5,90,SAPD
